#The data to RSSI.dat by RA4NHY
#Values in the RSSI.dat file are obtained using the MMDVMCal calibration program (S mode), the high-frequency generator and the Motorola GM340UHF radio station.
#For different radio stations, the values are slightly different.
#For example, for those GM340 that I had, the discrepancy is about 10 dB.
#Therefore, it is desirable to carry out calibration for each radio station.
#More about RSSI and a homebrew MMDVM node you can read here https://drive.google.com/file/d/0B_UNZTdPtyZUUjN2d2llV0RtNTQ/view  but unfortunately in Russian only
#Anton, RA4NHY

1045	-43
1043	-46
1042	-47
1041	-48
1039	-49
1036	-50
1030	-51
1024	-52
1017	-53
1009	-54
1003	-55
992	-56
980	-57
967	-58
955	-59
941	-60
929	-61
916	-62
905	-63
893	-64
884	-65
874	-66
865	-67
856	-68
848	-69
839	-70
831	-71
823	-72
815	-73
805	-74
799	-75
789	-76
778	-77
767	-78
757	-79
746	-80
737	-81
727	-82
719	-83
711	-84
704	-85
696	-86
689	-87
682	-88
674	-89
667	-90
659	-91
650	-92
641	-93
630	-94
621	-95
610	-96
598	-97
586	-98
575	-99
564	-100
554	-101
544	-102
535	-103
526	-104
521	-105
512	-106
504	-107
495	-108
486	-109
477	-110
468	-111
458	-112
449	-113
439	-114
431	-115
421	-116
412	-117
404	-118
395	-119
387	-120
381	-121
374	-122
368	-123
363	-124
360	-125
355	-126
352	-127
348	-128
345	-129
344	-130
342	-131
340	-132
339	-133
338	-134
337	-135
336	-136
335	-137
334	-138
333	-139
332	-140
331	-141
330	-142
